Item Name,Item Price
Butter Paneer Kulcha Burger (Whole Wheat),₹249
Peri-Peri Paneer Kulcha Burger (Whole Wheat),₹319
Spicy Dilli Kulcha Burger (Whole Wheat),₹199
Veg Manchurian Gravy,₹198
Hakka Noodles (500g),₹280
Chilli Garlic Paneer,₹260
Chicken Manchurian Gravy,₹281
Chilli Garlic Chicken,₹330
Veg Manchurian Hakka Noodles Bowl,₹284
Veg Manchurian Fried Rice Bowl,₹268
Chicken Manchurian Hakka Noodles Bowl,₹339
Chicken Manchurian Fried Rice Bowl,₹299
Chilli Garlic Paneer Fried Rice Bowl,₹288
Chilli Garlic Paneer Hakka Noodles Bowl,₹319
Chilli Garlic Chicken Hakka Noodles Bowl,₹348
Chilli Garlic Chicken Fried Rice Bowl,₹308
"Kadhai Paneer, Soya Masala Sabzi & Jeera Pulao",₹259
"Yellow Dal Tadka, Bhindi Chana & Jeera Pulao",₹229
"Ghar Ke Rajma, Aloo Gobhi & Jeera Pulao",₹239
"Lasooni Methi Paneer, Soya Masala Sabzi & Jeera Pulao",₹259
"Yellow Dal Tadka, Soya Masala Sabzi & Jeera Pulao",₹229
"Kadhai Paneer, Bhindi Chana & Jeera Pulao",₹268
"Lasooni Methi Paneer, Soya Matar & Millet Pulao",₹258
"Chole, Bhindi Chana & Millet Pulao",₹228
"Palak Paneer, Soya Matar & Millet Pulao",₹267
"Kadhai Chicken, Soya Masala Sabzi & Jeera Pulao",₹288
"Lasooni Methi Chicken, Soya Masala Sabzi & Jeera Pulao",₹279
"Lasooni Methi Chicken, Bhindi Chana & Jeera Pulao",₹279
"Kadhai Chicken, Bhindi Chana & Jeera Pulao",₹288
"Palak Chicken, Soya Matar & Millet Pulao",₹287
Kadhai Paneer Deluxe Thali,₹399
Palak Paneer Deluxe Thali,₹398
Palak Paneer Fit Thali,₹318
Lasooni Methi Paneer Fit Thali,₹307
Dal Makhani Fit Thali,₹278
Kadhai Paneer Fit Thali,₹318
Yellow Dal Tadka Fit Thali,₹258
Lasooni Methi Chicken Fit Thali,₹327
Palak Chicken Fit Thali,₹338
Kadhai Chicken Fit Thali,₹338
"Yellow Dal Tadka, Bhindi Chana, Paratha Thali",₹228
"Lasooni Methi Paneer, Aloo Gobhi & Paratha Thali",₹268
"Kadhai Paneer, Soya Masala Sabzi, Paratha Thali",₹279
"Chole, Aloo Gobhi, Paratha Thali",₹259
"Palak Paneer, Dal Makhani, Parathas Thali",₹277
"Kadhai Paneer, Bhindi Chana, Paratha Thali",₹297
"Kadhai Paneer, Yellow Dal Tadka, Paratha Thali",₹298
"Sarson Ka Saag, 3 Paratha Meal",₹249
Sarso Saag Fit Thali,₹330
"Sarso Saag, Aloo Gobhi, Paratha Thali",₹342
"Matar Paneer, Dal Makhani, Paratha Thali",₹297
"Kadhai Chicken, Soya Masala Sabzi, Paratha Thali",₹319
"Lasooni Methi Chicken, Yellow Dal Tadka, Paratha Thali",₹299
"Palak Chicken, Dal Makhani, Parathas Thali",₹287
Poha,₹139
Baked Bhakarwadi (50g),₹59
Quinoa Bhujia (50g),₹69
Ragi Chips (50g),₹59
Quinoa Khichdi,₹215
Dal Palak Khichdi,₹279
Whole Wheat Parathas (3pcs),₹68
Steamed Jeera Pulao (500g),₹149
Dal Makhani (420g),₹228
Kadhai Paneer (380g),₹278
Sarson Ka Saag (380g),₹329
Kadhai Chicken (400g),₹348
Seviya Kheer,₹99
Besan Laddu (500g),₹359
Banana Walnut Cake,₹89
Chocolate Walnut Brownie,₹79
Hibiscus Rose Kombucha (200 Ml),₹171
Hazelnut Cold Brew Coffee (Black),₹142
Berry Basil Kombucha (200 Ml),₹171
Tender Coconut Water,₹59
Aam Ka Panna (200ml),₹71
Classic Masala Chaas,₹69
Lemonade,₹69
Ice Tea (200ml),₹76
Berries (200ml),₹107
Mango (200ml),₹107
Mixed Fruit (200ml),₹107
Lemonade (200ml),₹76
Sugarcane (200ml),₹71
Pomegranate (200ml),₹133
Orange (200ml),₹133
